,ALTA1G_7_B1,BIGCRK3_2_B1,C493GEN_7_N003,CUYAMAGN_7_N001,IBM-CTLE_1_N002,JESSUP_1_GN001,KANAKAJT_1_B1,KEARNY_7_GNU1N,LBEACH1G_7_N001,MECCTG2_7_B2,MILPITAS_1_N001,REDMGEN_7_N003,RENFRO_1_N001,SHELL3_7_B2,SPIJCT_6_B1,TOT210S1_7_N002,TULLOCH_7_B2,VACA-DIX_1_B1,WISE1_7_B1
0,78.50697,76.7492,76.19147,81.69741,78.89821,76.64094,88.19101,78.76774,77.70143,78.50706,80.59319,77.25443,83.70206,79.79459,86.30692,73.65594,81.19621,77.62697,82.13206
1,76.9538,80.3419,74.13299,80.30158,77.4636,74.09585,79.17377,76.57954,75.45072,77.0973,79.00841,75.14209,82.09324,78.05286,79.55085,71.81384,79.6136,76.13379,79.31699
2,73.9962,77.62031,71.07464,76.66612,73.68123,70.47102,73.25712,74.02649,72.39646,73.35557,74.99899,71.92515,78.12954,74.02203,73.70395,68.79682,75.06715,72.36346,73.90086
3,73.18789,76.72294,70.64178,73.72207,72.6908,69.8521,72.12569,73.38553,72.00874,72.38594,73.93998,71.77392,75.25812,73.0254,72.72054,68.6651,73.92511,71.36725,72.83951
4,72.65427,76.33022,70.73249,77.34902,74.15402,70.51348,73.50855,73.41313,71.97894,73.85027,75.39942,71.80481,78.80651,74.435,74.10846,68.74944,75.24754,71.50722,74.73875
5,79.16875,83.3523,76.3916,81.33627,79.94439,76.40711,80.57691,78.92097,77.8418,79.52011,81.66599,78.34252,82.90285,80.62161,80.80942,74.37841,81.83734,77.43733,80.73464
6,90.95109,95.13832,88.96585,91.06027,91.98051,87.2058,91.87412,91.84966,90.61796,91.39621,94.04442,90.51102,95.59297,92.64963,87.01988,86.85194,93.01718,89.83179,88.10481
7,77.73331,82.10151,76.05567,74.33846,78.63544,75.19509,88.05794,78.88075,77.89158,78.01819,80.48915,76.57004,76.49091,79.81006,85.15411,73.37303,80.74031,76.62741,80.74
8,70.83726,74.41701,69.21338,67.2575,71.78993,68.91025,79.65601,72.14358,71.4002,71.26307,73.42103,68.79478,69.20616,73.65198,77.25435,65.98727,73.79633,70.15162,73.53821
9,69.94882,73.93425,68.81115,66.22814,70.98632,68.04555,81.70789,72.02382,71.40132,70.3996,72.74649,67.8309,68.12426,72.11684,75.39973,65.14056,72.94683,69.23331,70.78997
10,70.74169,76.44361,69.82297,67.54074,72.62288,69.8813,88.71021,72.75413,72.92913,71.95936,74.61345,69.1959,68.96987,74.00097,79.56016,66.0387,74.94157,70.75627,38.10472
11,73.19719,80.63086,72.61595,71.82058,76.07276,72.90657,112.76694,75.35387,76.27926,75.43035,78.63478,71.52997,71.49173,78.31357,82.72429,69.22797,79.49134,74.22199,45.42285
12,77.73293,87.10927,77.65118,76.72744,80.78208,77.29967,112.47221,80.97827,81.85296,80.09541,83.59416,77.20975,76.40046,83.33257,84.99619,74.05433,85.62148,78.9019,37.20122
13,84.249,94.47566,78.31846,82.35843,46.87657,82.82448,89.83067,79.82936,88.23238,70.09081,89.85915,82.82448,81.94514,89.68328,86.67539,78.88486,93.90409,84.58315,39.13891
14,91.81999,105.52206,84.27522,68.5159,90.65802,88.28736,96.11711,86.89785,96.00965,90.82301,96.48176,90.87732,88.41114,96.0988,97.08772,85.6241,120.72907,90.81067,29.80494
