,ALTA1G_7_B1,BIGCRK3_2_B1,C493GEN_7_N003,CUYAMAGN_7_N001,IBM-CTLE_1_N002,JESSUP_1_GN001,KANAKAJT_1_B1,KEARNY_7_GNU1N,LBEACH1G_7_N001,MECCTG2_7_B2,MILPITAS_1_N001,REDMGEN_7_N003,RENFRO_1_N001,SHELL3_7_B2,SPIJCT_6_B1,TOT210S1_7_N002,TULLOCH_7_B2,VACA-DIX_1_B1,WISE1_7_B1
0,60.27546,57.13874,57.78048,57.35465,60.74927,59.4358,59.4298,59.9216,59.63372,60.50937,61.81084,59.59174,58.42821,62.99835,59.94559,56.69492,58.90802,59.83764,60.20949
1,62.8918,59.85569,60.21728,59.84322,62.86063,61.48285,61.41427,62.34318,62.14992,62.62996,63.88929,62.36812,60.84071,65.46658,62.00653,59.12004,60.61628,61.93795,61.90678
2,59.58999,57.88018,57.14319,56.49464,59.1419,57.64434,57.67382,59.01809,58.94734,58.92375,59.94964,58.91786,57.59717,61.25264,58.21625,56.17036,57.03117,58.16908,58.11601
3,60.54609,58.88402,58.04701,57.41924,59.99606,58.47149,58.56715,59.88844,59.69712,59.7868,60.85101,59.79278,58.44758,62.07066,59.03349,56.95889,57.64046,59.00957,58.7226
4,62.65662,60.89365,59.95958,59.58843,62.12464,60.64003,60.66477,61.71637,61.75967,61.90813,63.00921,62.14319,60.55961,64.20309,61.18438,58.93273,59.76164,61.14108,61.00499
5,77.42565,73.08166,74.16957,73.85546,77.06557,75.34942,75.42604,76.33774,76.42967,76.80508,78.18412,76.99661,75.0966,79.83898,76.06193,72.90545,73.44174,75.93169,75.89338
6,85.60109,80.38089,81.27626,81.38607,85.30544,83.47246,83.56538,83.62451,83.94549,85.04359,86.74987,84.68037,82.66156,88.53217,84.37628,79.91631,80.42312,84.13132,84.28337
7,78.18041,73.26267,73.98291,74.59472,78.4747,76.5076,76.61602,76.33722,76.80964,78.1959,79.96163,76.30625,75.50082,81.88226,77.51438,72.53469,74.37013,77.28205,77.75446
8,53.36629,52.32683,51.75181,51.9785,56.99887,55.68849,55.87648,53.73121,53.90814,56.77771,58.41431,52.61434,53.01796,60.46558,56.43491,50.18157,54.99183,56.44044,56.57867
9,39.16399,37.7824,37.97099,37.96689,42.74298,41.97635,42.16903,39.40997,39.56165,42.5749,43.85399,38.15137,38.70482,45.45285,42.37401,36.29833,41.3491,42.36582,42.67329
10,34.06358,32.21592,32.79568,33.17417,41.05653,40.066,40.29291,34.01051,34.12349,40.89464,42.14749,32.58198,33.97359,43.62222,40.63403,31.19449,40.13726,40.6237,40.66131
11,27.39646,26.04341,26.31574,26.19247,29.98503,29.39737,29.56651,27.27606,27.52546,29.86177,30.81923,26.40174,26.87187,31.86555,29.83597,24.97988,29.42891,29.6955,29.70124
12,26.7396,25.31323,25.59127,25.44947,29.05572,28.45236,28.64699,26.51994,26.80077,28.93338,29.84814,25.7303,26.1279,30.8213,28.89723,24.25944,28.53299,28.74987,28.72206
13,28.7988,27.41787,27.68747,27.55567,31.22217,30.58712,30.82077,28.70295,28.99051,31.10235,32.02796,27.78932,28.23864,33.01048,31.10534,26.37244,30.63205,30.92561,30.94358
14,31.79335,30.63938,30.80094,30.63609,34.13095,33.44517,33.69244,32.02084,32.1791,33.98588,34.91894,30.88007,31.27571,35.7465,34.00566,29.66016,33.42868,33.7353,33.90016
15,55.27885,51.19093,53.3548,52.56844,56.51693,55.61904,55.84212,55.40154,55.4127,56.31616,57.79406,53.89018,53.54999,59.13253,56.16559,51.88248,54.42,56.07078,56.53924
16,85.03631,77.00125,80.55104,79.99978,83.94214,82.16307,82.22153,83.40758,83.299,83.58298,85.95508,83.1236,81.32782,87.95131,82.92314,79.0309,80.09166,83.22383,83.58298
17,95.58903,86.48398,90.27385,90.03055,93.8485,91.5465,91.22834,93.74557,93.4274,93.38997,96.49673,93.64263,91.01311,98.7613,92.36062,88.17773,89.20707,92.82851,92.28576
18,95.41264,86.42557,90.09529,89.95487,93.78373,91.25612,91.5276,93.52161,93.45608,93.32502,96.41432,93.70884,90.96591,98.34279,92.39823,88.22299,89.33701,92.64163,92.71652
19,91.85289,82.81936,86.61775,86.34836,89.76961,87.08469,87.83001,90.039,89.84145,89.32961,92.23004,90.36227,87.30021,94.19658,88.39572,84.70509,85.62101,88.65613,88.87165
20,85.72415,78.91852,81.39101,80.91328,83.38577,80.72889,81.51673,84.41667,84.30771,82.97508,85.523,84.87764,81.76817,87.24117,82.06152,79.73151,79.27054,82.22914,82.01123
21,82.08835,75.64376,78.32099,77.47133,79.45922,77.15872,77.34308,81.30282,80.886,79.0905,81.2948,80.95815,78.29695,82.82579,77.72783,76.65374,75.82812,78.36909,78.0164
22,78.09635,71.96289,74.97985,74.06098,75.95232,73.88486,74.12223,77.55268,77.04731,75.62306,77.64457,77.45314,74.81904,78.87739,74.36727,73.45605,72.16963,74.9875,74.78841
23,67.45428,63.59254,64.86652,63.95748,65.89498,64.44849,64.62765,66.99644,66.62487,65.64284,67.17559,66.98981,64.89969,68.12444,64.89969,63.68544,63.51955,65.15847,65.21155
24,67.27906,61.83066,64.82129,64.00203,66.77285,65.60058,65.57394,66.79949,66.48644,66.53307,68.02505,66.83946,65.12767,69.15736,66.02686,63.58241,64.19519,66.04684,66.60633
25,64.81124,61.8609,62.44455,61.9058,64.11855,62.95766,62.68828,64.35586,64.13138,63.90048,65.26662,64.68296,62.80373,66.61992,63.3489,61.23876,62.13669,63.40662,64.0031
26,64.57214,62.91579,62.03028,61.43145,63.57833,62.45711,62.44437,63.83953,63.68026,63.36811,64.56577,63.98605,62.41889,65.69974,62.87757,60.87721,61.55886,62.8712,63.51463
27,64.2618,62.63356,61.63887,61.03066,63.2101,62.13938,62.14572,63.38749,63.30513,63.01369,64.24913,63.59657,62.02534,65.45289,62.51318,60.51747,61.03066,62.54486,62.91866
28,66.32518,62.39523,63.68342,63.26492,65.28548,64.27193,64.21308,65.48165,65.33125,65.08277,66.3448,65.88053,64.12807,67.45643,64.63811,62.52601,63.30416,64.60542,65.33125
29,75.19395,71.10166,72.2475,71.77874,74.4871,73.27429,72.11357,74.24156,74.22668,74.25644,75.78175,74.88144,72.82786,77.23265,73.83977,70.98261,71.54065,73.76537,74.73263
30,77.73958,73.4991,74.40394,73.97452,76.6737,75.32411,73.49143,76.59702,76.40532,76.45133,78.13065,77.08778,75.00205,79.57993,76.09859,72.993,72.993,75.91456,77.02644
31,73.43994,69.32236,69.6861,69.8607,73.23625,71.78854,71.03196,71.89039,72.06499,72.9889,74.89492,71.72307,70.79916,76.90279,72.68336,68.28205,70.19535,72.47238,74.02193
32,52.34538,50.92102,51.02892,50.92102,55.04844,53.8291,54.12584,52.98743,53.14389,54.84881,56.30015,51.59004,51.95692,58.11837,54.58444,49.324,53.53775,54.46035,55.44769
33,38.97833,37.91744,37.86829,37.7536,42.74263,42.0381,42.23062,39.24048,39.62141,42.57879,43.79942,38.10996,38.67112,45.44195,42.72625,36.32816,41.522,42.3535,43.79123
34,32.04713,30.7814,30.98675,25.97146,39.22505,37.69149,37.95326,32.04713,32.41405,39.08367,40.18781,30.98675,26.7457,41.29694,38.64174,29.52241,38.38011,38.34294,39.32509
35,27.19173,25.9827,26.18801,23.62963,31.80653,30.83771,31.04918,27.0406,27.51395,31.75461,32.6087,26.33343,24.3311,33.56407,31.46686,25.00179,31.30182,31.22598,31.73971
36,25.68801,24.4709,24.64248,19.94156,31.35156,29.94104,30.27932,25.46014,25.90516,31.23897,31.98534,24.84086,20.64663,32.72208,30.72593,23.45486,30.8556,30.46162,31.0519
37,26.34475,25.1713,25.39718,22.17501,31.28064,30.13651,30.33533,26.20427,26.63398,31.17321,31.9444,25.4991,22.81682,32.7265,30.81512,24.23475,30.84021,30.57773,31.12058
38,30.25996,29.38921,29.49408,29.33519,33.03744,32.32559,32.44953,30.54597,30.82245,32.89444,33.82874,29.57989,30.0089,34.77257,32.86266,28.44855,32.39868,32.66881,33.29485
39,52.97507,49.23104,51.35284,50.5256,54.49524,53.49612,53.69487,53.19531,53.22217,54.29112,55.77906,51.78257,51.55696,57.28849,54.21592,49.80581,52.72798,54.02254,55.18281
40,78.65032,73.18211,74.82568,74.63874,78.32316,76.22,75.54232,77.36505,77.45074,77.97263,80.22379,77.36505,75.79158,82.288,77.41179,73.60274,74.86463,77.58316,78.97747
41,95.03228,88.15237,89.58801,89.67191,93.50341,91.17281,88.81425,93.01864,93.01864,93.05593,96.15096,93.24238,90.68805,131.9314,91.97454,87.86337,88.86087,92.40337,93.06526
