time,temp,rhum,prcp,wspd
2022-08-01 00:00:00,35.1,28.0,0.0,14.4
2022-08-01 01:00:00,35.4,27.0,0.0,15.1
2022-08-01 02:00:00,33.5,30.0,0.0,15.5
2022-08-01 03:00:00,31.3,34.0,0.0,15.1
2022-08-01 04:00:00,29.5,38.0,0.0,13.3
2022-08-01 05:00:00,28.6,41.0,0.0,13.0
2022-08-01 06:00:00,27.9,43.0,0.0,11.5
2022-08-01 07:00:00,26.1,49.0,0.0,5.8
2022-08-01 08:00:00,25.6,49.0,0.0,8.6
2022-08-01 09:00:00,24.8,51.0,0.0,9.7
2022-08-01 10:00:00,23.7,54.0,0.0,7.9
2022-08-01 11:00:00,23.0,55.0,0.0,6.1
2022-08-01 12:00:00,22.4,56.0,0.0,5.4
2022-08-01 13:00:00,22.0,57.0,0.0,5.0
2022-08-01 14:00:00,22.1,57.0,0.0,4.3
2022-08-01 15:00:00,22.9,54.0,0.0,6.8
2022-08-01 16:00:00,24.5,49.0,0.0,6.8
2022-08-01 17:00:00,27.0,40.0,0.0,7.2
2022-08-01 18:00:00,29.0,36.0,0.0,7.9
2022-08-01 19:00:00,31.3,31.0,0.0,11.2
2022-08-01 20:00:00,32.2,30.0,0.0,14.0
2022-08-01 21:00:00,33.1,30.0,0.0,11.9
2022-08-01 22:00:00,33.9,30.0,0.0,14.4
2022-08-01 23:00:00,33.9,25.0,0.0,15.5
2022-08-02 00:00:00,29.2,35.0,0.1,20.2
2022-08-02 01:00:00,28.2,40.0,0.0,10.4
2022-08-02 02:00:00,29.0,38.0,0.0,6.8
2022-08-02 03:00:00,30.3,44.0,0.0,4.3
2022-08-02 04:00:00,28.8,46.0,0.0,5.4
2022-08-02 05:00:00,28.0,48.0,0.0,5.0
2022-08-02 06:00:00,27.1,53.0,0.0,5.0
2022-08-02 07:00:00,25.9,61.0,0.0,5.0
2022-08-02 08:00:00,25.2,67.0,0.0,3.2
2022-08-02 09:00:00,24.2,77.0,0.0,4.7
2022-08-02 10:00:00,23.8,78.0,0.0,4.3
2022-08-02 11:00:00,23.1,82.0,0.0,4.0
2022-08-02 12:00:00,22.7,83.0,0.0,4.3
2022-08-02 13:00:00,22.2,84.0,0.0,4.7
2022-08-02 14:00:00,23.7,75.0,0.0,2.2
2022-08-02 15:00:00,25.5,66.0,0.0,1.4
2022-08-02 16:00:00,27.8,57.0,0.0,2.2
2022-08-02 17:00:00,30.3,48.0,0.0,2.9
2022-08-02 18:00:00,33.4,37.0,0.0,4.3
2022-08-02 19:00:00,36.0,30.0,0.0,4.7
2022-08-02 20:00:00,37.6,25.0,0.0,3.6
2022-08-02 21:00:00,38.8,23.0,0.0,5.0
2022-08-02 22:00:00,39.7,21.0,0.0,5.8
2022-08-02 23:00:00,40.2,20.0,0.0,6.5
2022-08-03 00:00:00,39.9,20.0,0.0,7.9
2022-08-03 01:00:00,39.6,20.0,0.0,7.2
2022-08-03 02:00:00,38.7,21.0,0.0,10.1
2022-08-03 03:00:00,36.9,23.0,0.0,11.2
2022-08-03 04:00:00,35.1,25.0,0.0,13.3
2022-08-03 05:00:00,32.3,30.0,0.0,6.1
2022-08-03 06:00:00,31.7,31.0,0.0,11.9
2022-08-03 07:00:00,30.4,33.0,0.0,15.1
2022-08-03 08:00:00,29.1,36.0,0.0,11.9
2022-08-03 09:00:00,28.0,39.0,0.0,9.4
2022-08-03 10:00:00,26.9,42.0,0.0,6.8
2022-08-03 11:00:00,25.4,49.0,0.0,3.6
2022-08-03 12:00:00,24.9,52.0,0.0,4.0
2022-08-03 13:00:00,24.2,52.0,0.0,5.4
2022-08-03 14:00:00,24.1,49.0,0.0,8.3
2022-08-03 15:00:00,25.4,45.0,0.0,6.1
2022-08-03 16:00:00,27.0,40.0,0.0,6.1
2022-08-03 17:00:00,29.5,35.0,0.0,6.1
2022-08-03 18:00:00,31.9,31.0,0.0,5.4
2022-08-03 19:00:00,34.3,27.0,0.0,6.1
2022-08-03 20:00:00,36.8,24.0,0.0,5.4
2022-08-03 21:00:00,37.6,23.0,0.0,6.8
2022-08-03 22:00:00,38.4,22.0,0.0,7.2
2022-08-03 23:00:00,39.8,20.0,0.0,5.8
2022-08-04 00:00:00,40.3,19.0,0.0,2.9
2022-08-04 01:00:00,40.1,19.0,0.0,2.9
2022-08-04 02:00:00,39.6,19.0,0.0,4.0
2022-08-04 03:00:00,36.6,23.0,0.0,6.8
2022-08-04 04:00:00,35.5,24.0,0.0,11.2
2022-08-04 05:00:00,33.7,27.0,0.0,16.9
2022-08-04 06:00:00,32.5,29.0,0.0,15.1
2022-08-04 07:00:00,31.4,31.0,0.0,13.0
2022-08-04 08:00:00,30.2,34.0,0.0,8.6
2022-08-04 09:00:00,28.7,39.0,0.0,5.8
2022-08-04 10:00:00,27.7,42.0,0.0,5.4
2022-08-04 11:00:00,27.0,46.0,0.0,5.4
2022-08-04 12:00:00,26.2,48.0,0.0,5.0
2022-08-04 13:00:00,25.5,49.0,0.0,5.8
2022-08-04 14:00:00,25.8,49.0,0.0,6.8
2022-08-04 15:00:00,27.7,42.0,0.0,6.8
2022-08-04 16:00:00,30.5,35.0,0.0,8.6
2022-08-04 17:00:00,32.3,30.0,0.0,10.8
2022-08-04 18:00:00,34.2,25.0,0.0,12.2
2022-08-04 19:00:00,36.4,22.0,0.0,14.0
2022-08-04 20:00:00,38.3,20.0,0.0,14.8
2022-08-04 21:00:00,40.0,20.0,0.0,12.2
2022-08-04 22:00:00,40.6,19.0,0.0,13.0
2022-08-04 23:00:00,41.2,17.0,0.0,13.7
2022-08-05 00:00:00,41.0,17.0,0.0,15.1
2022-08-05 01:00:00,40.3,17.0,0.0,17.3
2022-08-05 02:00:00,39.1,18.0,0.0,18.0
2022-08-05 03:00:00,36.5,22.0,0.0,20.9
2022-08-05 04:00:00,33.7,26.0,0.0,19.8
2022-08-05 05:00:00,31.6,29.0,0.0,18.4
2022-08-05 06:00:00,30.0,31.0,0.0,16.9
2022-08-05 07:00:00,29.0,31.0,0.0,15.5
2022-08-05 08:00:00,28.3,30.0,0.0,14.0
2022-08-05 09:00:00,27.7,29.0,0.0,13.0
2022-08-05 10:00:00,26.4,30.0,0.0,15.8
2022-08-05 11:00:00,24.8,33.0,0.0,16.2
2022-08-05 12:00:00,23.5,36.0,0.0,15.8
2022-08-05 13:00:00,22.7,38.0,0.0,15.8
2022-08-05 14:00:00,21.7,45.0,0.0,16.2
2022-08-05 15:00:00,22.1,46.0,0.0,15.5
2022-08-05 16:00:00,23.1,44.0,0.0,15.8
2022-08-05 17:00:00,22.0,51.0,0.0,16.9
2022-08-05 18:00:00,23.0,50.0,0.3,14.8
2022-08-05 19:00:00,26.4,38.0,0.0,13.0
2022-08-05 20:00:00,29.2,32.0,0.0,13.0
2022-08-05 21:00:00,31.5,29.0,0.0,11.9
2022-08-05 22:00:00,34.3,26.0,0.0,15.8
2022-08-05 23:00:00,35.0,23.0,0.0,16.2
2022-08-06 00:00:00,35.0,23.0,0.0,17.6
2022-08-06 01:00:00,34.0,26.0,0.0,19.1
2022-08-06 02:00:00,32.4,29.0,0.0,19.1
2022-08-06 03:00:00,31.5,32.0,0.0,15.8
2022-08-06 04:00:00,29.7,39.0,0.0,15.8
2022-08-06 05:00:00,28.5,43.0,0.0,12.6
2022-08-06 06:00:00,27.3,47.0,0.0,12.6
2022-08-06 07:00:00,25.9,52.0,0.0,14.8
2022-08-06 08:00:00,25.3,55.0,0.0,11.9
2022-08-06 09:00:00,24.0,58.0,0.0,11.5
2022-08-06 10:00:00,22.7,62.0,0.0,11.9
2022-08-06 11:00:00,21.7,66.0,0.0,11.9
2022-08-06 12:00:00,20.8,69.0,0.0,10.4
2022-08-06 13:00:00,20.1,73.0,0.0,9.7
2022-08-06 14:00:00,20.4,70.0,0.0,10.4
2022-08-06 15:00:00,21.3,65.0,0.0,10.8
2022-08-06 16:00:00,22.9,57.0,0.0,9.4
2022-08-06 17:00:00,25.2,49.0,0.0,8.3
2022-08-06 18:00:00,27.6,42.0,0.0,7.9
2022-08-06 19:00:00,29.9,38.0,0.0,7.6
2022-08-06 20:00:00,32.0,34.0,0.0,7.2
2022-08-06 21:00:00,33.6,30.0,0.0,7.9
2022-08-06 22:00:00,34.7,28.0,0.0,8.6
2022-08-06 23:00:00,35.3,25.0,0.0,9.4
2022-08-07 00:00:00,35.7,22.0,0.0,10.4
2022-08-07 01:00:00,35.3,21.0,0.0,12.2
2022-08-07 02:00:00,34.3,22.0,0.0,13.7
2022-08-07 03:00:00,32.3,24.0,0.0,10.8
2022-08-07 04:00:00,30.2,28.0,0.0,14.8
2022-08-07 05:00:00,28.0,35.0,0.0,14.8
2022-08-07 06:00:00,26.0,43.0,0.0,15.1
2022-08-07 07:00:00,24.6,47.0,0.0,12.6
2022-08-07 08:00:00,23.7,50.0,0.0,9.4
2022-08-07 09:00:00,22.7,54.0,0.0,8.3
2022-08-07 10:00:00,22.2,56.0,0.0,8.6
2022-08-07 11:00:00,21.1,60.0,0.0,9.0
2022-08-07 12:00:00,20.1,64.0,0.0,7.6
2022-08-07 13:00:00,19.3,67.0,0.0,7.6
2022-08-07 14:00:00,19.1,67.0,0.0,7.6
2022-08-07 15:00:00,21.3,59.0,0.0,7.6
2022-08-07 16:00:00,23.4,52.0,0.0,7.2
2022-08-07 17:00:00,25.9,43.0,0.0,7.9
2022-08-07 18:00:00,28.4,35.0,0.0,7.6
2022-08-07 19:00:00,31.2,28.0,0.0,7.2
2022-08-07 20:00:00,33.2,26.0,0.0,5.4
2022-08-07 21:00:00,34.9,24.0,0.0,6.1
2022-08-07 22:00:00,36.4,19.0,0.0,7.9
2022-08-07 23:00:00,37.3,16.0,0.0,9.0
2022-08-08 00:00:00,37.4,15.0,0.0,9.7
2022-08-08 01:00:00,36.9,16.0,0.0,10.8
2022-08-08 02:00:00,35.8,17.0,0.0,12.2
2022-08-08 03:00:00,33.2,19.0,0.0,10.1
2022-08-08 04:00:00,31.1,23.0,0.0,14.0
2022-08-08 05:00:00,28.9,28.0,0.0,17.6
2022-08-08 06:00:00,26.5,34.0,0.0,16.2
2022-08-08 07:00:00,25.0,39.0,0.0,11.5
2022-08-08 08:00:00,23.7,43.0,0.0,10.8
2022-08-08 09:00:00,22.6,47.0,0.0,10.1
2022-08-08 10:00:00,21.2,54.0,0.0,8.3
2022-08-08 11:00:00,21.0,56.0,0.0,7.2
2022-08-08 12:00:00,19.4,63.0,0.0,7.2
2022-08-08 13:00:00,18.4,69.0,0.0,5.8
2022-08-08 14:00:00,18.7,69.0,0.0,7.6
