time,temp,rhum,prcp,wspd
2022-01-01 00:00:00,13.9,67.0,0.0,16.6
2022-01-01 01:00:00,13.3,72.0,0.0,16.6
2022-01-01 02:00:00,13.3,72.0,0.0,7.6
2022-01-01 03:00:00,13.3,77.0,0.0,9.4
2022-01-01 04:00:00,12.2,77.0,0.0,5.4
2022-01-01 05:00:00,11.7,80.0,0.0,7.6
2022-01-01 06:00:00,11.7,80.0,0.0,7.6
2022-01-01 07:00:00,10.6,86.0,0.0,11.2
2022-01-01 08:00:00,10.0,86.0,0.0,0.0
2022-01-01 09:00:00,8.9,89.0,0.0,0.0
2022-01-01 10:00:00,9.4,86.0,0.0,7.6
2022-01-01 11:00:00,8.9,89.0,0.0,0.0
2022-01-01 12:00:00,8.3,90.0,0.0,0.0
2022-01-01 13:00:00,8.3,90.0,0.0,0.0
2022-01-01 14:00:00,8.3,90.0,0.0,0.0
2022-01-01 15:00:00,8.3,90.0,0.0,0.0
2022-01-01 16:00:00,8.3,90.0,0.0,0.0
2022-01-01 17:00:00,11.7,71.0,0.0,7.6
2022-01-01 18:00:00,13.3,40.0,0.0,11.2
2022-01-01 19:00:00,14.4,42.0,0.0,7.6
2022-01-01 20:00:00,16.1,41.0,0.0,0.0
2022-01-01 21:00:00,15.6,36.0,0.0,5.4
2022-01-01 22:00:00,17.2,29.0,0.0,0.0
2022-01-01 23:00:00,16.1,41.0,0.0,14.8
2022-01-02 00:00:00,14.4,56.0,0.0,14.8
2022-01-02 01:00:00,13.9,55.0,0.0,7.6
2022-01-02 02:00:00,13.9,47.0,0.0,5.4
2022-01-02 03:00:00,11.7,59.0,0.0,0.0
2022-01-02 04:00:00,10.0,66.0,0.0,0.0
2022-01-02 05:00:00,10.0,68.0,0.0,0.0
2022-01-02 06:00:00,9.4,71.0,0.0,0.0
2022-01-02 07:00:00,8.3,74.0,0.0,7.6
2022-01-02 08:00:00,10.0,39.0,0.0,11.2
2022-01-02 09:00:00,8.9,56.0,0.0,5.4
2022-01-02 10:00:00,8.3,48.0,0.0,5.4
2022-01-02 11:00:00,7.2,60.0,0.0,9.4
2022-01-02 12:00:00,6.7,60.0,0.0,11.2
2022-01-02 13:00:00,6.1,62.0,0.0,7.6
2022-01-02 14:00:00,5.6,62.0,0.0,7.6
