,ALTA1G_7_B1,BIGCRK3_2_B1,C493GEN_7_N003,CUYAMAGN_7_N001,IBM-CTLE_1_N002,JESSUP_1_GN001,KANAKAJT_1_B1,KEARNY_7_GNU1N,LBEACH1G_7_N001,MECCTG2_7_B2,MILPITAS_1_N001,REDMGEN_7_N003,RENFRO_1_N001,SHELL3_7_B2,SPIJCT_6_B1,TOT210S1_7_N002,TULLOCH_7_B2,VACA-DIX_1_B1,WISE1_7_B1
0,63.24063,63.54292,61.05536,61.42062,63.55551,62.98243,63.23433,62.24561,62.10706,63.34769,64.73316,62.83758,61.93702,64.14749,64.16008,60.1485,64.27974,62.61087,64.6324
1,60.34412,60.19232,58.57108,59.52439,61.88035,61.14563,61.70426,59.7187,59.57297,61.6739,62.93081,60.44127,59.68834,62.80937,62.15966,57.77564,62.694,60.86631,62.62721
2,58.51738,60.85384,56.7518,57.75229,59.871,58.97643,59.4708,57.84646,57.75229,59.69444,60.91269,58.43499,57.89354,60.90681,60.23588,55.96317,60.55957,58.95878,60.60666
3,56.97133,59.28229,55.22233,56.01368,58.4336,57.78561,58.04366,56.2832,56.21439,58.26157,59.35111,56.95412,56.40362,59.6665,58.74326,54.4826,58.91529,57.61358,59.1504
4,57.66883,59.39192,55.46742,56.29151,58.72919,58.17596,58.54478,56.46439,56.44134,58.56783,59.65125,57.14441,56.63728,60.04312,59.10378,55.1447,59.31701,57.97426,59.43803
5,58.84511,61.03964,56.75678,57.67116,60.05446,59.47633,59.7595,57.78915,57.78915,59.90698,61.02784,58.59145,58.02512,61.43489,60.48511,56.39692,60.34353,59.30526,60.94525
6,66.17673,64.59437,63.47162,63.39283,66.62977,65.75652,66.32118,64.67316,64.6469,66.45906,67.71313,65.11307,64.48275,68.12677,67.12221,62.92009,67.03028,65.71712,66.92523
7,54.93413,56.7861,52.94272,53.27183,57.38297,56.69685,57.28814,54.0974,54.15319,57.20446,58.51534,54.4321,54.20339,58.9616,58.00772,52.26218,62.27405,56.59086,57.76786
8,39.26717,41.28163,35.05336,36.80873,50.28651,48.76251,49.98587,27.25416,40.84017,50.0215,52.03192,38.65409,37.86696,52.36069,51.10472,38.02289,51.74268,49.76325,50.77936
9,28.83117,30.81329,26.09868,24.36497,48.35458,41.57085,43.00353,33.99647,31.97186,48.30388,49.02699,28.7349,25.28732,48.03545,44.30191,27.52954,45.66104,44.85821,44.00823
10,25.41187,27.12791,29.23604,19.94995,47.88471,38.91689,40.21043,32.83527,28.61079,47.90176,48.15339,25.00799,20.51952,46.3067,41.76318,23.47251,42.80853,43.12835,41.40731
11,26.83846,28.46207,26.30939,21.5695,46.51018,37.46774,38.50403,30.16716,29.15593,46.59745,46.3215,26.38062,15.08,44.52154,39.78882,25.79212,40.68961,41.35326,39.30942
12,29.97447,30.97514,26.1028,23.99964,48.41158,40.15494,41.22641,31.06343,31.81984,48.42778,48.58779,28.5493,24.70373,47.16707,42.64137,28.17496,43.7351,44.01847,42.12439
13,34.96358,36.49777,25.88162,28.54363,53.04034,44.25603,45.23528,26.81918,36.00447,53.07393,53.0456,33.46851,29.42672,51.4771,46.63695,32.8777,47.54232,48.09878,46.4554
