time,temp,rhum,prcp,wspd
2022-08-01 00:00:00,37.2,22.0,0.0,24.1
2022-08-01 01:00:00,36.7,24.0,0.0,18.4
2022-08-01 02:00:00,33.9,28.0,0.0,24.1
2022-08-01 03:00:00,33.9,28.0,0.0,24.1
2022-08-01 04:00:00,31.7,29.0,0.0,16.6
2022-08-01 05:00:00,31.7,27.0,0.0,16.6
2022-08-01 06:00:00,31.1,27.0,0.0,14.8
2022-08-01 07:00:00,30.0,35.0,0.0,11.2
2022-08-01 08:00:00,30.0,34.0,0.0,5.4
2022-08-01 09:00:00,30.0,34.0,0.0,5.4
2022-08-01 10:00:00,28.3,37.0,0.0,7.6
2022-08-01 11:00:00,28.3,37.0,0.0,7.6
2022-08-01 12:00:00,27.8,43.0,0.0,5.4
2022-08-01 13:00:00,25.6,58.0,0.0,13.0
2022-08-01 14:00:00,26.7,54.0,0.0,9.4
2022-08-01 15:00:00,27.2,54.0,0.0,5.4
2022-08-01 16:00:00,29.4,46.0,0.0,9.4
2022-08-01 17:00:00,29.4,46.0,0.0,9.4
2022-08-01 18:00:00,32.8,36.0,0.0,14.8
2022-08-01 19:00:00,35.0,33.0,0.0,14.8
2022-08-01 20:00:00,35.6,31.0,0.0,9.0
2022-08-01 21:00:00,35.6,31.0,0.0,9.4
2022-08-01 22:00:00,37.8,26.0,0.0,24.1
2022-08-01 23:00:00,37.8,26.0,0.0,24.1
2022-08-02 00:00:00,37.8,25.0,0.0,18.4
2022-08-02 01:00:00,37.2,28.0,0.0,20.5
2022-08-02 02:00:00,37.2,28.0,0.0,20.5
2022-08-02 03:00:00,33.3,36.0,0.0,13.0
2022-08-02 04:00:00,31.7,41.0,0.0,20.5
2022-08-02 05:00:00,30.6,42.0,0.0,14.8
2022-08-02 06:00:00,28.9,48.0,0.0,18.4
2022-08-02 07:00:00,28.9,48.0,0.0,18.4
2022-08-02 08:00:00,26.7,54.0,0.0,14.8
2022-08-02 09:00:00,25.6,58.0,0.0,5.4
2022-08-02 10:00:00,25.6,58.0,0.0,5.4
2022-08-02 11:00:00,25.6,52.0,0.0,5.4
2022-08-02 12:00:00,25.6,52.0,0.0,0.0
2022-08-02 13:00:00,26.1,47.0,0.0,5.4
2022-08-02 14:00:00,27.2,42.0,0.0,5.4
2022-08-02 15:00:00,28.9,38.0,0.0,11.2
2022-08-02 16:00:00,30.6,36.0,0.0,9.4
