Time,Location,LMP
2022-08-01 00:00:00-07:00,ALTA1G_7_B1,79.17131
2022-08-01 00:00:00-07:00,BIGCRK3_2_B1,80.5556
2022-08-01 00:00:00-07:00,C493GEN_7_N003,77.50363
2022-08-01 00:00:00-07:00,CUYAMAGN_7_N001,84.25952
2022-08-01 00:00:00-07:00,IBM-CTLE_1_N002,79.47012
2022-08-01 00:00:00-07:00,JESSUP_1_GN001,77.20259
2022-08-01 00:00:00-07:00,KANAKAJT_1_B1,78.24145
2022-08-01 00:00:00-07:00,KEARNY_7_GNU1N,79.81629
2022-08-01 00:00:00-07:00,LBEACH1G_7_N001,78.53455
2022-08-01 00:00:00-07:00,MECCTG2_7_B2,79.05933
2022-08-01 00:00:00-07:00,MILPITAS_1_N001,80.63674
2022-08-01 00:00:00-07:00,REDMGEN_7_N003,78.14425
2022-08-01 00:00:00-07:00,RENFRO_1_N001,85.61105
2022-08-01 00:00:00-07:00,SHELL3_7_B2,79.29759
2022-08-01 00:00:00-07:00,SPIJCT_6_B1,100.37377
2022-08-01 00:00:00-07:00,TOT210S1_7_N002,74.97736
2022-08-01 00:00:00-07:00,TULLOCH_7_B2,80.74354
2022-08-01 00:00:00-07:00,VACA-DIX_1_B1,77.87628
2022-08-01 00:00:00-07:00,WISE1_7_B1,84.45055
2022-08-01 01:00:00-07:00,ALTA1G_7_B1,76.76826
2022-08-01 01:00:00-07:00,BIGCRK3_2_B1,76.70487
2022-08-01 01:00:00-07:00,C493GEN_7_N003,76.79995
2022-08-01 01:00:00-07:00,CUYAMAGN_7_N001,81.17394
2022-08-01 01:00:00-07:00,IBM-CTLE_1_N002,78.76508
2022-08-01 01:00:00-07:00,JESSUP_1_GN001,78.06778
2022-08-01 01:00:00-07:00,KANAKAJT_1_B1,99.51166
2022-08-01 01:00:00-07:00,KEARNY_7_GNU1N,76.76826
2022-08-01 01:00:00-07:00,LBEACH1G_7_N001,76.73656
2022-08-01 01:00:00-07:00,MECCTG2_7_B2,78.76508
2022-08-01 01:00:00-07:00,MILPITAS_1_N001,78.76508
2022-08-01 01:00:00-07:00,REDMGEN_7_N003,76.70487
2022-08-01 01:00:00-07:00,RENFRO_1_N001,81.17394
2022-08-01 01:00:00-07:00,SHELL3_7_B2,78.76508
2022-08-01 01:00:00-07:00,SPIJCT_6_B1,91.2288
2022-08-01 01:00:00-07:00,TOT210S1_7_N002,76.83165
2022-08-01 01:00:00-07:00,TULLOCH_7_B2,78.76508
2022-08-01 01:00:00-07:00,VACA-DIX_1_B1,78.76508
2022-08-01 01:00:00-07:00,WISE1_7_B1,81.6838
2022-08-01 02:00:00-07:00,ALTA1G_7_B1,77.37931
2022-08-01 02:00:00-07:00,BIGCRK3_2_B1,77.79578
2022-08-01 02:00:00-07:00,C493GEN_7_N003,75.36456
2022-08-01 02:00:00-07:00,CUYAMAGN_7_N001,78.20697
2022-08-01 02:00:00-07:00,IBM-CTLE_1_N002,76.10843
2022-08-01 02:00:00-07:00,JESSUP_1_GN001,73.18982
2022-08-01 02:00:00-07:00,KANAKAJT_1_B1,89.28591
2022-08-01 02:00:00-07:00,KEARNY_7_GNU1N,77.71559
2022-08-01 02:00:00-07:00,LBEACH1G_7_N001,76.4223
2022-08-01 02:00:00-07:00,MECCTG2_7_B2,75.74869
2022-08-01 02:00:00-07:00,MILPITAS_1_N001,77.04688
2022-08-01 02:00:00-07:00,REDMGEN_7_N003,76.24734
2022-08-01 02:00:00-07:00,RENFRO_1_N001,78.96555
2022-08-01 02:00:00-07:00,SHELL3_7_B2,76.02241
2022-08-01 02:00:00-07:00,SPIJCT_6_B1,85.32274
2022-08-01 02:00:00-07:00,TOT210S1_7_N002,73.30288
2022-08-01 02:00:00-07:00,TULLOCH_7_B2,77.3988
2022-08-01 02:00:00-07:00,VACA-DIX_1_B1,74.63037
2022-08-01 02:00:00-07:00,WISE1_7_B1,77.87514
2022-08-01 03:00:00-07:00,ALTA1G_7_B1,77.46865
2022-08-01 03:00:00-07:00,BIGCRK3_2_B1,77.60984
2022-08-01 03:00:00-07:00,C493GEN_7_N003,74.94989
2022-08-01 03:00:00-07:00,CUYAMAGN_7_N001,76.26707
2022-08-01 03:00:00-07:00,IBM-CTLE_1_N002,75.46055
2022-08-01 03:00:00-07:00,JESSUP_1_GN001,72.62702
2022-08-01 03:00:00-07:00,KANAKAJT_1_B1,85.17763
2022-08-01 03:00:00-07:00,KEARNY_7_GNU1N,77.12003
2022-08-01 03:00:00-07:00,LBEACH1G_7_N001,76.07189
2022-08-01 03:00:00-07:00,MECCTG2_7_B2,75.11302
2022-08-01 03:00:00-07:00,MILPITAS_1_N001,76.31007
2022-08-01 03:00:00-07:00,REDMGEN_7_N003,76.23516
2022-08-01 03:00:00-07:00,RENFRO_1_N001,77.22471
2022-08-01 03:00:00-07:00,SHELL3_7_B2,75.28292
2022-08-01 03:00:00-07:00,SPIJCT_6_B1,82.15364
2022-08-01 03:00:00-07:00,TOT210S1_7_N002,72.94085
2022-08-01 03:00:00-07:00,TULLOCH_7_B2,75.90848
2022-08-01 03:00:00-07:00,VACA-DIX_1_B1,73.8928
2022-08-01 03:00:00-07:00,WISE1_7_B1,76.49703
