Time,Location,LMP
2022-01-01 00:00:00-08:00,ALTA1G_7_B1,60.27546
2022-01-01 00:00:00-08:00,BIGCRK3_2_B1,57.13874
2022-01-01 00:00:00-08:00,C493GEN_7_N003,57.78048
2022-01-01 00:00:00-08:00,CUYAMAGN_7_N001,57.35465
2022-01-01 00:00:00-08:00,IBM-CTLE_1_N002,60.74927
2022-01-01 00:00:00-08:00,JESSUP_1_GN001,59.4358
2022-01-01 00:00:00-08:00,KANAKAJT_1_B1,59.4298
2022-01-01 00:00:00-08:00,KEARNY_7_GNU1N,59.9216
2022-01-01 00:00:00-08:00,LBEACH1G_7_N001,59.63372
2022-01-01 00:00:00-08:00,MECCTG2_7_B2,60.50937
2022-01-01 00:00:00-08:00,MILPITAS_1_N001,61.81084
2022-01-01 00:00:00-08:00,REDMGEN_7_N003,59.59174
2022-01-01 00:00:00-08:00,RENFRO_1_N001,58.42821
2022-01-01 00:00:00-08:00,SHELL3_7_B2,62.99835
2022-01-01 00:00:00-08:00,SPIJCT_6_B1,59.94559
2022-01-01 00:00:00-08:00,TOT210S1_7_N002,56.69492
2022-01-01 00:00:00-08:00,TULLOCH_7_B2,58.90802
2022-01-01 00:00:00-08:00,VACA-DIX_1_B1,59.83764
2022-01-01 00:00:00-08:00,WISE1_7_B1,60.20949
2022-01-01 01:00:00-08:00,ALTA1G_7_B1,62.8918
2022-01-01 01:00:00-08:00,BIGCRK3_2_B1,59.85569
2022-01-01 01:00:00-08:00,C493GEN_7_N003,60.21728
2022-01-01 01:00:00-08:00,CUYAMAGN_7_N001,59.84322
2022-01-01 01:00:00-08:00,IBM-CTLE_1_N002,62.86063
2022-01-01 01:00:00-08:00,JESSUP_1_GN001,61.48285
2022-01-01 01:00:00-08:00,KANAKAJT_1_B1,61.41427
2022-01-01 01:00:00-08:00,KEARNY_7_GNU1N,62.34318
2022-01-01 01:00:00-08:00,LBEACH1G_7_N001,62.14992
2022-01-01 01:00:00-08:00,MECCTG2_7_B2,62.62996
2022-01-01 01:00:00-08:00,MILPITAS_1_N001,63.88929
2022-01-01 01:00:00-08:00,REDMGEN_7_N003,62.36812
2022-01-01 01:00:00-08:00,RENFRO_1_N001,60.84071
2022-01-01 01:00:00-08:00,SHELL3_7_B2,65.46658
