Time,Location,LMP
2022-10-01 00:00:00-07:00,ALTA1G_7_B1,63.24063
2022-10-01 00:00:00-07:00,BIGCRK3_2_B1,63.54292
2022-10-01 00:00:00-07:00,C493GEN_7_N003,61.05536
2022-10-01 00:00:00-07:00,CUYAMAGN_7_N001,61.42062
2022-10-01 00:00:00-07:00,IBM-CTLE_1_N002,63.55551
2022-10-01 00:00:00-07:00,JESSUP_1_GN001,62.98243
2022-10-01 00:00:00-07:00,KANAKAJT_1_B1,63.23433
2022-10-01 00:00:00-07:00,KEARNY_7_GNU1N,62.24561
2022-10-01 00:00:00-07:00,LBEACH1G_7_N001,62.10706
2022-10-01 00:00:00-07:00,MECCTG2_7_B2,63.34769
2022-10-01 00:00:00-07:00,MILPITAS_1_N001,64.73316
2022-10-01 00:00:00-07:00,REDMGEN_7_N003,62.83758
2022-10-01 00:00:00-07:00,RENFRO_1_N001,61.93702
2022-10-01 00:00:00-07:00,SHELL3_7_B2,64.14749
2022-10-01 00:00:00-07:00,SPIJCT_6_B1,64.16008
2022-10-01 00:00:00-07:00,TOT210S1_7_N002,60.1485
2022-10-01 00:00:00-07:00,TULLOCH_7_B2,64.27974
2022-10-01 00:00:00-07:00,VACA-DIX_1_B1,62.61087
2022-10-01 00:00:00-07:00,WISE1_7_B1,64.6324
2022-10-01 01:00:00-07:00,ALTA1G_7_B1,60.34412
2022-10-01 01:00:00-07:00,BIGCRK3_2_B1,60.19232
2022-10-01 01:00:00-07:00,C493GEN_7_N003,58.57108
2022-10-01 01:00:00-07:00,CUYAMAGN_7_N001,59.52439
2022-10-01 01:00:00-07:00,IBM-CTLE_1_N002,61.88035
2022-10-01 01:00:00-07:00,JESSUP_1_GN001,61.14563
2022-10-01 01:00:00-07:00,KANAKAJT_1_B1,61.70426
2022-10-01 01:00:00-07:00,KEARNY_7_GNU1N,59.7187
2022-10-01 01:00:00-07:00,LBEACH1G_7_N001,59.57297
2022-10-01 01:00:00-07:00,MECCTG2_7_B2,61.6739
2022-10-01 01:00:00-07:00,MILPITAS_1_N001,62.93081
2022-10-01 01:00:00-07:00,REDMGEN_7_N003,60.44127
2022-10-01 01:00:00-07:00,RENFRO_1_N001,59.68834
2022-10-01 01:00:00-07:00,SHELL3_7_B2,62.80937
2022-10-01 01:00:00-07:00,SPIJCT_6_B1,62.15966
2022-10-01 01:00:00-07:00,TOT210S1_7_N002,57.77564
2022-10-01 01:00:00-07:00,TULLOCH_7_B2,62.694
2022-10-01 01:00:00-07:00,VACA-DIX_1_B1,60.86631
2022-10-01 01:00:00-07:00,WISE1_7_B1,62.62721
2022-10-01 02:00:00-07:00,ALTA1G_7_B1,58.51738
2022-10-01 02:00:00-07:00,BIGCRK3_2_B1,60.85384
2022-10-01 02:00:00-07:00,C493GEN_7_N003,56.7518
2022-10-01 02:00:00-07:00,CUYAMAGN_7_N001,57.75229
2022-10-01 02:00:00-07:00,IBM-CTLE_1_N002,59.871
2022-10-01 02:00:00-07:00,JESSUP_1_GN001,58.97643
2022-10-01 02:00:00-07:00,KANAKAJT_1_B1,59.4708
2022-10-01 02:00:00-07:00,KEARNY_7_GNU1N,57.84646
2022-10-01 02:00:00-07:00,LBEACH1G_7_N001,57.75229
2022-10-01 02:00:00-07:00,MECCTG2_7_B2,59.69444
2022-10-01 02:00:00-07:00,MILPITAS_1_N001,60.91269
2022-10-01 02:00:00-07:00,REDMGEN_7_N003,58.43499
2022-10-01 02:00:00-07:00,RENFRO_1_N001,57.89354
2022-10-01 02:00:00-07:00,SHELL3_7_B2,60.90681
2022-10-01 02:00:00-07:00,SPIJCT_6_B1,60.23588
2022-10-01 02:00:00-07:00,TOT210S1_7_N002,55.96317
2022-10-01 02:00:00-07:00,TULLOCH_7_B2,60.55957
2022-10-01 02:00:00-07:00,VACA-DIX_1_B1,58.95878
2022-10-01 02:00:00-07:00,WISE1_7_B1,60.60666
2022-10-01 03:00:00-07:00,ALTA1G_7_B1,56.97133
2022-10-01 03:00:00-07:00,BIGCRK3_2_B1,59.28229
2022-10-01 03:00:00-07:00,C493GEN_7_N003,55.22233
2022-10-01 03:00:00-07:00,CUYAMAGN_7_N001,56.01368
2022-10-01 03:00:00-07:00,IBM-CTLE_1_N002,58.4336
2022-10-01 03:00:00-07:00,JESSUP_1_GN001,57.78561
2022-10-01 03:00:00-07:00,KANAKAJT_1_B1,58.04366
2022-10-01 03:00:00-07:00,KEARNY_7_GNU1N,56.2832
2022-10-01 03:00:00-07:00,LBEACH1G_7_N001,56.21439
2022-10-01 03:00:00-07:00,MECCTG2_7_B2,58.26157
2022-10-01 03:00:00-07:00,MILPITAS_1_N001,59.35111
2022-10-01 03:00:00-07:00,REDMGEN_7_N003,56.95412
2022-10-01 03:00:00-07:00,RENFRO_1_N001,56.40362
2022-10-01 03:00:00-07:00,SHELL3_7_B2,59.6665
2022-10-01 03:00:00-07:00,SPIJCT_6_B1,58.74326
2022-10-01 03:00:00-07:00,TOT210S1_7_N002,54.4826
2022-10-01 03:00:00-07:00,TULLOCH_7_B2,58.91529
2022-10-01 03:00:00-07:00,VACA-DIX_1_B1,57.61358
2022-10-01 03:00:00-07:00,WISE1_7_B1,59.1504
2022-10-01 04:00:00-07:00,ALTA1G_7_B1,57.66883
2022-10-01 04:00:00-07:00,BIGCRK3_2_B1,59.39192
2022-10-01 04:00:00-07:00,C493GEN_7_N003,55.46742
2022-10-01 04:00:00-07:00,CUYAMAGN_7_N001,56.29151
2022-10-01 04:00:00-07:00,IBM-CTLE_1_N002,58.72919
2022-10-01 04:00:00-07:00,JESSUP_1_GN001,58.17596
2022-10-01 04:00:00-07:00,KANAKAJT_1_B1,58.54478
2022-10-01 04:00:00-07:00,KEARNY_7_GNU1N,56.46439
2022-10-01 04:00:00-07:00,LBEACH1G_7_N001,56.44134
2022-10-01 04:00:00-07:00,MECCTG2_7_B2,58.56783
2022-10-01 04:00:00-07:00,MILPITAS_1_N001,59.65125
2022-10-01 04:00:00-07:00,REDMGEN_7_N003,57.14441
2022-10-01 04:00:00-07:00,RENFRO_1_N001,56.63728
2022-10-01 04:00:00-07:00,SHELL3_7_B2,60.04312
2022-10-01 04:00:00-07:00,SPIJCT_6_B1,59.10378
2022-10-01 04:00:00-07:00,TOT210S1_7_N002,55.1447
2022-10-01 04:00:00-07:00,TULLOCH_7_B2,59.31701
2022-10-01 04:00:00-07:00,VACA-DIX_1_B1,57.97426
2022-10-01 04:00:00-07:00,WISE1_7_B1,59.43803
2022-10-01 05:00:00-07:00,ALTA1G_7_B1,58.84511
2022-10-01 05:00:00-07:00,BIGCRK3_2_B1,61.03964
2022-10-01 05:00:00-07:00,C493GEN_7_N003,56.75678
2022-10-01 05:00:00-07:00,CUYAMAGN_7_N001,57.67116
2022-10-01 05:00:00-07:00,IBM-CTLE_1_N002,60.05446
2022-10-01 05:00:00-07:00,JESSUP_1_GN001,59.47633
2022-10-01 05:00:00-07:00,KANAKAJT_1_B1,59.7595
2022-10-01 05:00:00-07:00,KEARNY_7_GNU1N,57.78915
2022-10-01 05:00:00-07:00,LBEACH1G_7_N001,57.78915
2022-10-01 05:00:00-07:00,MECCTG2_7_B2,59.90698
2022-10-01 05:00:00-07:00,MILPITAS_1_N001,61.02784
2022-10-01 05:00:00-07:00,REDMGEN_7_N003,58.59145
2022-10-01 05:00:00-07:00,RENFRO_1_N001,58.02512
