Time,Location,LMP
2022-08-01 00:00:00-07:00,ALTA1G_7_B1,86.16059
2022-08-01 00:00:00-07:00,BIGCRK3_2_B1,86.98818
2022-08-01 00:00:00-07:00,C493GEN_7_N003,81.06597
2022-08-01 00:00:00-07:00,CUYAMAGN_7_N001,85.57473
2022-08-01 00:00:00-07:00,IBM-CTLE_1_N002,77.20331
2022-08-01 00:00:00-07:00,JESSUP_1_GN001,71.66424
2022-08-01 00:00:00-07:00,KANAKAJT_1_B1,70.85008
2022-08-01 00:00:00-07:00,KEARNY_7_GNU1N,84.4143
2022-08-01 00:00:00-07:00,LBEACH1G_7_N001,84.39152
2022-08-01 00:00:00-07:00,MECCTG2_7_B2,76.44406
2022-08-01 00:00:00-07:00,MILPITAS_1_N001,79.76649
2022-08-01 00:00:00-07:00,REDMGEN_7_N003,84.17134
2022-08-01 00:00:00-07:00,RENFRO_1_N001,86.93828
2022-08-01 00:00:00-07:00,SHELL3_7_B2,75.7031
2022-08-01 00:00:00-07:00,SPIJCT_6_B1,76.4789
2022-08-01 00:00:00-07:00,TOT210S1_7_N002,79.35005
2022-08-01 00:00:00-07:00,TULLOCH_7_B2,78.87952
2022-08-01 00:00:00-07:00,VACA-DIX_1_B1,73.74772
2022-08-01 00:00:00-07:00,WISE1_7_B1,77.03452
2022-08-01 00:15:00-07:00,ALTA1G_7_B1,82.96584
2022-08-01 00:15:00-07:00,BIGCRK3_2_B1,83.63262
2022-08-01 00:15:00-07:00,C493GEN_7_N003,78.21049
2022-08-01 00:15:00-07:00,CUYAMAGN_7_N001,83.91855
2022-08-01 00:15:00-07:00,IBM-CTLE_1_N002,74.35205
2022-08-01 00:15:00-07:00,JESSUP_1_GN001,68.85415
2022-08-01 00:15:00-07:00,KANAKAJT_1_B1,68.19962
2022-08-01 00:15:00-07:00,KEARNY_7_GNU1N,81.37584
2022-08-01 00:15:00-07:00,LBEACH1G_7_N001,81.34653
2022-08-01 00:15:00-07:00,MECCTG2_7_B2,73.63399
2022-08-01 00:15:00-07:00,MILPITAS_1_N001,76.79365
2022-08-01 00:15:00-07:00,REDMGEN_7_N003,81.1487
2022-08-01 00:15:00-07:00,RENFRO_1_N001,85.16418
2022-08-01 00:15:00-07:00,SHELL3_7_B2,72.95092
2022-08-01 00:15:00-07:00,SPIJCT_6_B1,73.66493
2022-08-01 00:15:00-07:00,TOT210S1_7_N002,76.51791
2022-08-01 00:15:00-07:00,TULLOCH_7_B2,75.98361
2022-08-01 00:15:00-07:00,VACA-DIX_1_B1,70.99369
2022-08-01 00:15:00-07:00,WISE1_7_B1,74.17379
2022-08-01 00:30:00-07:00,ALTA1G_7_B1,78.04238
2022-08-01 00:30:00-07:00,BIGCRK3_2_B1,78.47623
2022-08-01 00:30:00-07:00,C493GEN_7_N003,73.74416
2022-08-01 00:30:00-07:00,CUYAMAGN_7_N001,80.11958
2022-08-01 00:30:00-07:00,IBM-CTLE_1_N002,71.16468
2022-08-01 00:30:00-07:00,JESSUP_1_GN001,65.76184
2022-08-01 00:30:00-07:00,KANAKAJT_1_B1,65.15719
2022-08-01 00:30:00-07:00,KEARNY_7_GNU1N,76.63871
2022-08-01 00:30:00-07:00,LBEACH1G_7_N001,76.51835
2022-08-01 00:30:00-07:00,MECCTG2_7_B2,70.51942
2022-08-01 00:30:00-07:00,MILPITAS_1_N001,73.40076
2022-08-01 00:30:00-07:00,REDMGEN_7_N003,76.31387
2022-08-01 00:30:00-07:00,RENFRO_1_N001,81.3147
2022-08-01 00:30:00-07:00,SHELL3_7_B2,70.02483
2022-08-01 00:30:00-07:00,SPIJCT_6_B1,70.341
2022-08-01 00:30:00-07:00,TOT210S1_7_N002,72.12908
2022-08-01 00:30:00-07:00,TULLOCH_7_B2,72.97127
2022-08-01 00:30:00-07:00,VACA-DIX_1_B1,67.96126
2022-08-01 00:30:00-07:00,WISE1_7_B1,70.81674
2022-08-01 00:45:00-07:00,ALTA1G_7_B1,74.11928
2022-08-01 00:45:00-07:00,BIGCRK3_2_B1,74.43833
2022-08-01 00:45:00-07:00,C493GEN_7_N003,70.63601
2022-08-01 00:45:00-07:00,CUYAMAGN_7_N001,74.01968
2022-08-01 00:45:00-07:00,IBM-CTLE_1_N002,69.73338
2022-08-01 00:45:00-07:00,JESSUP_1_GN001,64.93771
2022-08-01 00:45:00-07:00,KANAKAJT_1_B1,64.23267
2022-08-01 00:45:00-07:00,KEARNY_7_GNU1N,73.57386
2022-08-01 00:45:00-07:00,LBEACH1G_7_N001,72.65117
2022-08-01 00:45:00-07:00,MECCTG2_7_B2,69.12145
2022-08-01 00:45:00-07:00,MILPITAS_1_N001,71.78867
2022-08-01 00:45:00-07:00,REDMGEN_7_N003,72.23191
2022-08-01 00:45:00-07:00,RENFRO_1_N001,75.21072
2022-08-01 00:45:00-07:00,SHELL3_7_B2,68.70906
2022-08-01 00:45:00-07:00,SPIJCT_6_B1,69.04829
2022-08-01 00:45:00-07:00,TOT210S1_7_N002,68.73895
2022-08-01 00:45:00-07:00,TULLOCH_7_B2,72.27722
2022-08-01 00:45:00-07:00,VACA-DIX_1_B1,67.06617
2022-08-01 00:45:00-07:00,WISE1_7_B1,69.41411
2022-08-01 01:00:00-07:00,ALTA1G_7_B1,81.12409
2022-08-01 01:00:00-07:00,BIGCRK3_2_B1,82.67081
2022-08-01 01:00:00-07:00,C493GEN_7_N003,77.05678
2022-08-01 01:00:00-07:00,CUYAMAGN_7_N001,85.65616
2022-08-01 01:00:00-07:00,IBM-CTLE_1_N002,71.86237
2022-08-01 01:00:00-07:00,JESSUP_1_GN001,66.32929
2022-08-01 01:00:00-07:00,KANAKAJT_1_B1,66.8223
2022-08-01 01:00:00-07:00,KEARNY_7_GNU1N,79.99269
2022-08-01 01:00:00-07:00,LBEACH1G_7_N001,79.80651
2022-08-01 01:00:00-07:00,MECCTG2_7_B2,71.26803
2022-08-01 01:00:00-07:00,MILPITAS_1_N001,73.54956
2022-08-01 01:00:00-07:00,REDMGEN_7_N003,79.59169
2022-08-01 01:00:00-07:00,RENFRO_1_N001,86.62286
2022-08-01 01:00:00-07:00,SHELL3_7_B2,70.41149
2022-08-01 01:00:00-07:00,SPIJCT_6_B1,70.69958
2022-08-01 01:00:00-07:00,TOT210S1_7_N002,75.35969
2022-08-01 01:00:00-07:00,TULLOCH_7_B2,72.55588
2022-08-01 01:00:00-07:00,VACA-DIX_1_B1,68.29409
2022-08-01 01:00:00-07:00,WISE1_7_B1,71.18102
2022-08-01 01:15:00-07:00,ALTA1G_7_B1,80.23834
2022-08-01 01:15:00-07:00,BIGCRK3_2_B1,81.61956
2022-08-01 01:15:00-07:00,C493GEN_7_N003,76.05217
2022-08-01 01:15:00-07:00,CUYAMAGN_7_N001,85.48202
2022-08-01 01:15:00-07:00,IBM-CTLE_1_N002,71.65212
2022-08-01 01:15:00-07:00,JESSUP_1_GN001,65.84046
2022-08-01 01:15:00-07:00,KANAKAJT_1_B1,66.61071
2022-08-01 01:15:00-07:00,KEARNY_7_GNU1N,78.89253
2022-08-01 01:15:00-07:00,LBEACH1G_7_N001,78.82878
2022-08-01 01:15:00-07:00,MECCTG2_7_B2,71.04297
2022-08-01 01:15:00-07:00,MILPITAS_1_N001,73.23343
2022-08-01 01:15:00-07:00,REDMGEN_7_N003,78.80045
2022-08-01 01:15:00-07:00,RENFRO_1_N001,86.44534
2022-08-01 01:15:00-07:00,SHELL3_7_B2,70.12748
2022-08-01 01:15:00-07:00,SPIJCT_6_B1,70.40724
2022-08-01 01:15:00-07:00,TOT210S1_7_N002,74.40179
2022-08-01 01:15:00-07:00,TULLOCH_7_B2,72.16029
2022-08-01 01:15:00-07:00,VACA-DIX_1_B1,68.06458
2022-08-01 01:15:00-07:00,WISE1_7_B1,70.79324
2022-08-01 01:30:00-07:00,ALTA1G_7_B1,78.14016
2022-08-01 01:30:00-07:00,BIGCRK3_2_B1,79.25492
2022-08-01 01:30:00-07:00,C493GEN_7_N003,74.16942
2022-08-01 01:30:00-07:00,CUYAMAGN_7_N001,84.36725
2022-08-01 01:30:00-07:00,IBM-CTLE_1_N002,69.45274
2022-08-01 01:30:00-07:00,JESSUP_1_GN001,63.67049
2022-08-01 01:30:00-07:00,KANAKAJT_1_B1,64.47641
2022-08-01 01:30:00-07:00,KEARNY_7_GNU1N,77.14927
2022-08-01 01:30:00-07:00,LBEACH1G_7_N001,76.82562
2022-08-01 01:30:00-07:00,MECCTG2_7_B2,68.87466
2022-08-01 01:30:00-07:00,MILPITAS_1_N001,70.99452
2022-08-01 01:30:00-07:00,REDMGEN_7_N003,76.70175
2022-08-01 01:30:00-07:00,RENFRO_1_N001,85.30329
2022-08-01 01:30:00-07:00,SHELL3_7_B2,68.13117
2022-08-01 01:30:00-07:00,SPIJCT_6_B1,68.35212
2022-08-01 01:30:00-07:00,TOT210S1_7_N002,72.48346
2022-08-01 01:30:00-07:00,TULLOCH_7_B2,69.93058
2022-08-01 01:30:00-07:00,VACA-DIX_1_B1,65.91399
2022-08-01 01:30:00-07:00,WISE1_7_B1,68.62764
2022-08-01 01:45:00-07:00,ALTA1G_7_B1,74.15287
2022-08-01 01:45:00-07:00,BIGCRK3_2_B1,74.96814
2022-08-01 01:45:00-07:00,C493GEN_7_N003,70.33725
2022-08-01 01:45:00-07:00,CUYAMAGN_7_N001,80.1874
2022-08-01 01:45:00-07:00,IBM-CTLE_1_N002,65.79167
2022-08-01 01:45:00-07:00,JESSUP_1_GN001,60.32778
2022-08-01 01:45:00-07:00,KANAKAJT_1_B1,61.08994
2022-08-01 01:45:00-07:00,KEARNY_7_GNU1N,73.1354
