Time,Location,LMP
2022-01-01 00:00:00-08:00,ALTA1G_7_B1,64.15051
2022-01-01 00:00:00-08:00,BIGCRK3_2_B1,58.90581
2022-01-01 00:00:00-08:00,C493GEN_7_N003,59.9227
2022-01-01 00:00:00-08:00,CUYAMAGN_7_N001,60.87796
2022-01-01 00:00:00-08:00,IBM-CTLE_1_N002,64.63738
2022-01-01 00:00:00-08:00,JESSUP_1_GN001,62.58511
2022-01-01 00:00:00-08:00,KANAKAJT_1_B1,62.99187
2022-01-01 00:00:00-08:00,KEARNY_7_GNU1N,62.52348
2022-01-01 00:00:00-08:00,LBEACH1G_7_N001,63.07198
2022-01-01 00:00:00-08:00,MECCTG2_7_B2,64.24295
2022-01-01 00:00:00-08:00,MILPITAS_1_N001,66.1658
2022-01-01 00:00:00-08:00,REDMGEN_7_N003,62.95489
2022-01-01 00:00:00-08:00,RENFRO_1_N001,61.53124
2022-01-01 00:00:00-08:00,SHELL3_7_B2,66.29523
2022-01-01 00:00:00-08:00,SPIJCT_6_B1,63.52805
2022-01-01 00:00:00-08:00,TOT210S1_7_N002,58.90581
2022-01-01 00:00:00-08:00,TULLOCH_7_B2,61.53124
2022-01-01 00:00:00-08:00,VACA-DIX_1_B1,63.24455
2022-01-01 00:00:00-08:00,WISE1_7_B1,64.31691
2022-01-01 00:15:00-08:00,ALTA1G_7_B1,63.69787
2022-01-01 00:15:00-08:00,BIGCRK3_2_B1,59.01223
2022-01-01 00:15:00-08:00,C493GEN_7_N003,59.51796
2022-01-01 00:15:00-08:00,CUYAMAGN_7_N001,60.41975
2022-01-01 00:15:00-08:00,IBM-CTLE_1_N002,63.98425
2022-01-01 00:15:00-08:00,JESSUP_1_GN001,61.77243
2022-01-01 00:15:00-08:00,KANAKAJT_1_B1,62.22332
2022-01-01 00:15:00-08:00,KEARNY_7_GNU1N,62.05881
2022-01-01 00:15:00-08:00,LBEACH1G_7_N001,62.62547
2022-01-01 00:15:00-08:00,MECCTG2_7_B2,63.60038
2022-01-01 00:15:00-08:00,MILPITAS_1_N001,65.42223
2022-01-01 00:15:00-08:00,REDMGEN_7_N003,62.50361
2022-01-01 00:15:00-08:00,RENFRO_1_N001,61.06562
2022-01-01 00:15:00-08:00,SHELL3_7_B2,65.57456
2022-01-01 00:15:00-08:00,SPIJCT_6_B1,62.80217
2022-01-01 00:15:00-08:00,TOT210S1_7_N002,58.51868
2022-01-01 00:15:00-08:00,TULLOCH_7_B2,60.87674
2022-01-01 00:15:00-08:00,VACA-DIX_1_B1,62.52798
2022-01-01 00:15:00-08:00,WISE1_7_B1,63.61256
2022-01-01 00:30:00-08:00,ALTA1G_7_B1,63.00531
2022-01-01 00:30:00-08:00,BIGCRK3_2_B1,58.63789
2022-01-01 00:30:00-08:00,C493GEN_7_N003,58.89693
2022-01-01 00:30:00-08:00,CUYAMAGN_7_N001,59.77041
2022-01-01 00:30:00-08:00,IBM-CTLE_1_N002,63.22218
2022-01-01 00:30:00-08:00,JESSUP_1_GN001,61.05955
2022-01-01 00:30:00-08:00,KANAKAJT_1_B1,61.51136
2022-01-01 00:30:00-08:00,KEARNY_7_GNU1N,61.3969
2022-01-01 00:30:00-08:00,LBEACH1G_7_N001,61.94509
2022-01-01 00:30:00-08:00,MECCTG2_7_B2,62.85471
2022-01-01 00:30:00-08:00,MILPITAS_1_N001,64.61373
2022-01-01 00:30:00-08:00,REDMGEN_7_N003,61.83665
2022-01-01 00:30:00-08:00,RENFRO_1_N001,60.40896
2022-01-01 00:30:00-08:00,SHELL3_7_B2,64.67397
2022-01-01 00:30:00-08:00,SPIJCT_6_B1,62.10773
2022-01-01 00:30:00-08:00,TOT210S1_7_N002,57.90899
2022-01-01 00:30:00-08:00,TULLOCH_7_B2,60.23426
2022-01-01 00:30:00-08:00,VACA-DIX_1_B1,61.78244
2022-01-01 00:30:00-08:00,WISE1_7_B1,62.93905
2022-01-01 00:45:00-08:00,ALTA1G_7_B1,61.64234
2022-01-01 00:45:00-08:00,BIGCRK3_2_B1,57.33911
2022-01-01 00:45:00-08:00,C493GEN_7_N003,57.56901
2022-01-01 00:45:00-08:00,CUYAMAGN_7_N001,58.52987
2022-01-01 00:45:00-08:00,IBM-CTLE_1_N002,61.83687
2022-01-01 00:45:00-08:00,JESSUP_1_GN001,59.76189
2022-01-01 00:45:00-08:00,KANAKAJT_1_B1,60.19221
2022-01-01 00:45:00-08:00,KEARNY_7_GNU1N,59.99179
2022-01-01 00:45:00-08:00,LBEACH1G_7_N001,60.58127
2022-01-01 00:45:00-08:00,MECCTG2_7_B2,61.47729
2022-01-01 00:45:00-08:00,MILPITAS_1_N001,63.175
2022-01-01 00:45:00-08:00,REDMGEN_7_N003,60.49875
2022-01-01 00:45:00-08:00,RENFRO_1_N001,59.15472
2022-01-01 00:45:00-08:00,SHELL3_7_B2,63.21627
2022-01-01 00:45:00-08:00,SPIJCT_6_B1,60.76401
2022-01-01 00:45:00-08:00,TOT210S1_7_N002,56.65531
2022-01-01 00:45:00-08:00,TULLOCH_7_B2,58.92482
2022-01-01 00:45:00-08:00,VACA-DIX_1_B1,60.4398
2022-01-01 00:45:00-08:00,WISE1_7_B1,61.57161
2022-01-01 01:00:00-08:00,ALTA1G_7_B1,61.57179
2022-01-01 01:00:00-08:00,BIGCRK3_2_B1,58.6005
2022-01-01 01:00:00-08:00,C493GEN_7_N003,57.40963
2022-01-01 01:00:00-08:00,CUYAMAGN_7_N001,58.43543
2022-01-01 01:00:00-08:00,IBM-CTLE_1_N002,61.68381
2022-01-01 01:00:00-08:00,JESSUP_1_GN001,59.68526
2022-01-01 01:00:00-08:00,KANAKAJT_1_B1,60.07436
2022-01-01 01:00:00-08:00,KEARNY_7_GNU1N,59.82675
2022-01-01 01:00:00-08:00,LBEACH1G_7_N001,60.41629
2022-01-01 01:00:00-08:00,MECCTG2_7_B2,61.34187
2022-01-01 01:00:00-08:00,MILPITAS_1_N001,62.95722
2022-01-01 01:00:00-08:00,REDMGEN_7_N003,60.30428
2022-01-01 01:00:00-08:00,RENFRO_1_N001,59.12519
2022-01-01 01:00:00-08:00,SHELL3_7_B2,63.29915
2022-01-01 01:00:00-08:00,SPIJCT_6_B1,60.44577
2022-01-01 01:00:00-08:00,TOT210S1_7_N002,56.55479
2022-01-01 01:00:00-08:00,TULLOCH_7_B2,59.13698
2022-01-01 01:00:00-08:00,VACA-DIX_1_B1,60.4104
2022-01-01 01:00:00-08:00,WISE1_7_B1,60.90561
2022-01-01 01:15:00-08:00,ALTA1G_7_B1,61.54579
2022-01-01 01:15:00-08:00,BIGCRK3_2_B1,58.54657
2022-01-01 01:15:00-08:00,C493GEN_7_N003,57.37988
2022-01-01 01:15:00-08:00,CUYAMAGN_7_N001,58.44051
2022-01-01 01:15:00-08:00,IBM-CTLE_1_N002,61.61061
2022-01-01 01:15:00-08:00,JESSUP_1_GN001,59.64255
2022-01-01 01:15:00-08:00,KANAKAJT_1_B1,60.01967
2022-01-01 01:15:00-08:00,KEARNY_7_GNU1N,59.77808
2022-01-01 01:15:00-08:00,LBEACH1G_7_N001,60.3791
2022-01-01 01:15:00-08:00,MECCTG2_7_B2,61.27474
2022-01-01 01:15:00-08:00,MILPITAS_1_N001,62.85389
2022-01-01 01:15:00-08:00,REDMGEN_7_N003,60.28482
2022-01-01 01:15:00-08:00,RENFRO_1_N001,59.13581
2022-01-01 01:15:00-08:00,SHELL3_7_B2,63.17798
2022-01-01 01:15:00-08:00,SPIJCT_6_B1,60.36732
2022-01-01 01:15:00-08:00,TOT210S1_7_N002,56.53138
2022-01-01 01:15:00-08:00,TULLOCH_7_B2,59.04153
2022-01-01 01:15:00-08:00,VACA-DIX_1_B1,60.34964
2022-01-01 01:15:00-08:00,WISE1_7_B1,60.79157
2022-01-01 01:30:00-08:00,ALTA1G_7_B1,60.76815
2022-01-01 01:30:00-08:00,BIGCRK3_2_B1,57.75418
2022-01-01 01:30:00-08:00,C493GEN_7_N003,56.61376
2022-01-01 01:30:00-08:00,CUYAMAGN_7_N001,57.67854
2022-01-01 01:30:00-08:00,IBM-CTLE_1_N002,60.80306
2022-01-01 01:30:00-08:00,JESSUP_1_GN001,58.90624
2022-01-01 01:30:00-08:00,KANAKAJT_1_B1,59.26117
2022-01-01 01:30:00-08:00,KEARNY_7_GNU1N,58.95861
2022-01-01 01:30:00-08:00,LBEACH1G_7_N001,59.57536
2022-01-01 01:30:00-08:00,MECCTG2_7_B2,60.47141
2022-01-01 01:30:00-08:00,MILPITAS_1_N001,62.00749
2022-01-01 01:30:00-08:00,REDMGEN_7_N003,59.49391
2022-01-01 01:30:00-08:00,RENFRO_1_N001,58.37094
2022-01-01 01:30:00-08:00,SHELL3_7_B2,62.30423
2022-01-01 01:30:00-08:00,SPIJCT_6_B1,59.58118
2022-01-01 01:30:00-08:00,TOT210S1_7_N002,55.78172
