Time,Location,LMP
2022-10-01 00:00:00-07:00,ALTA1G_7_B1,69.23447
2022-10-01 00:00:00-07:00,BIGCRK3_2_B1,68.55246
2022-10-01 00:00:00-07:00,C493GEN_7_N003,64.24683
2022-10-01 00:00:00-07:00,CUYAMAGN_7_N001,66.87843
2022-10-01 00:00:00-07:00,IBM-CTLE_1_N002,69.96471
2022-10-01 00:00:00-07:00,JESSUP_1_GN001,68.01512
2022-10-01 00:00:00-07:00,KANAKAJT_1_B1,69.11047
2022-10-01 00:00:00-07:00,KEARNY_7_GNU1N,66.47198
2022-10-01 00:00:00-07:00,LBEACH1G_7_N001,67.88423
2022-10-01 00:00:00-07:00,MECCTG2_7_B2,69.5927
2022-10-01 00:00:00-07:00,MILPITAS_1_N001,71.60429
2022-10-01 00:00:00-07:00,REDMGEN_7_N003,68.76602
2022-10-01 00:00:00-07:00,RENFRO_1_N001,67.712
2022-10-01 00:00:00-07:00,SHELL3_7_B2,70.43316
2022-10-01 00:00:00-07:00,SPIJCT_6_B1,70.69494
2022-10-01 00:00:00-07:00,TOT210S1_7_N002,63.92305
2022-10-01 00:00:00-07:00,TULLOCH_7_B2,69.70981
2022-10-01 00:00:00-07:00,VACA-DIX_1_B1,68.62135
2022-10-01 00:00:00-07:00,WISE1_7_B1,71.16339
2022-10-01 00:15:00-07:00,ALTA1G_7_B1,62.49428
2022-10-01 00:15:00-07:00,BIGCRK3_2_B1,61.81614
2022-10-01 00:15:00-07:00,C493GEN_7_N003,57.8842
2022-10-01 00:15:00-07:00,CUYAMAGN_7_N001,60.47232
2022-10-01 00:15:00-07:00,IBM-CTLE_1_N002,63.30307
2022-10-01 00:15:00-07:00,JESSUP_1_GN001,61.66061
2022-10-01 00:15:00-07:00,KANAKAJT_1_B1,62.60005
2022-10-01 00:15:00-07:00,KEARNY_7_GNU1N,59.8875
2022-10-01 00:15:00-07:00,LBEACH1G_7_N001,61.23755
2022-10-01 00:15:00-07:00,MECCTG2_7_B2,62.97955
2022-10-01 00:15:00-07:00,MILPITAS_1_N001,64.75888
2022-10-01 00:15:00-07:00,REDMGEN_7_N003,62.10233
2022-10-01 00:15:00-07:00,RENFRO_1_N001,61.23133
2022-10-01 00:15:00-07:00,SHELL3_7_B2,63.69502
2022-10-01 00:15:00-07:00,SPIJCT_6_B1,63.99365
2022-10-01 00:15:00-07:00,TOT210S1_7_N002,57.63534
2022-10-01 00:15:00-07:00,TULLOCH_7_B2,63.08532
2022-10-01 00:15:00-07:00,VACA-DIX_1_B1,62.12722
2022-10-01 00:15:00-07:00,WISE1_7_B1,64.3856
2022-10-01 00:30:00-07:00,ALTA1G_7_B1,60.43823
2022-10-01 00:30:00-07:00,BIGCRK3_2_B1,59.63872
2022-10-01 00:30:00-07:00,C493GEN_7_N003,55.96578
2022-10-01 00:30:00-07:00,CUYAMAGN_7_N001,58.44246
2022-10-01 00:30:00-07:00,IBM-CTLE_1_N002,61.09347
2022-10-01 00:30:00-07:00,JESSUP_1_GN001,59.50046
2022-10-01 00:30:00-07:00,KANAKAJT_1_B1,60.40216
2022-10-01 00:30:00-07:00,KEARNY_7_GNU1N,57.89542
2022-10-01 00:30:00-07:00,LBEACH1G_7_N001,59.23596
2022-10-01 00:30:00-07:00,MECCTG2_7_B2,60.78088
2022-10-01 00:30:00-07:00,MILPITAS_1_N001,62.45805
2022-10-01 00:30:00-07:00,REDMGEN_7_N003,60.02345
2022-10-01 00:30:00-07:00,RENFRO_1_N001,59.18186
2022-10-01 00:30:00-07:00,SHELL3_7_B2,61.41808
2022-10-01 00:30:00-07:00,SPIJCT_6_B1,61.73067
2022-10-01 00:30:00-07:00,TOT210S1_7_N002,55.66521
2022-10-01 00:30:00-07:00,TULLOCH_7_B2,60.86504
2022-10-01 00:30:00-07:00,VACA-DIX_1_B1,59.95131
2022-10-01 00:30:00-07:00,WISE1_7_B1,62.09135
2022-10-01 00:45:00-07:00,ALTA1G_7_B1,57.52263
2022-10-01 00:45:00-07:00,BIGCRK3_2_B1,58.1647
2022-10-01 00:45:00-07:00,C493GEN_7_N003,53.21159
2022-10-01 00:45:00-07:00,CUYAMAGN_7_N001,55.73401
2022-10-01 00:45:00-07:00,IBM-CTLE_1_N002,58.37682
2022-10-01 00:45:00-07:00,JESSUP_1_GN001,57.04108
2022-10-01 00:45:00-07:00,KANAKAJT_1_B1,57.8494
2022-10-01 00:45:00-07:00,KEARNY_7_GNU1N,55.03461
2022-10-01 00:45:00-07:00,LBEACH1G_7_N001,56.37608
2022-10-01 00:45:00-07:00,MECCTG2_7_B2,58.09018
2022-10-01 00:45:00-07:00,MILPITAS_1_N001,59.67816
2022-10-01 00:45:00-07:00,REDMGEN_7_N003,57.17867
2022-10-01 00:45:00-07:00,RENFRO_1_N001,56.43914
2022-10-01 00:45:00-07:00,SHELL3_7_B2,58.66345
2022-10-01 00:45:00-07:00,SPIJCT_6_B1,59.08768
2022-10-01 00:45:00-07:00,TOT210S1_7_N002,52.93642
2022-10-01 00:45:00-07:00,TULLOCH_7_B2,58.2335
2022-10-01 00:45:00-07:00,VACA-DIX_1_B1,57.35065
2022-10-01 00:45:00-07:00,WISE1_7_B1,59.38578
2022-10-01 01:00:00-07:00,ALTA1G_7_B1,61.84941
2022-10-01 01:00:00-07:00,BIGCRK3_2_B1,63.01439
2022-10-01 01:00:00-07:00,C493GEN_7_N003,58.00744
2022-10-01 01:00:00-07:00,CUYAMAGN_7_N001,60.00898
2022-10-01 01:00:00-07:00,IBM-CTLE_1_N002,63.26845
2022-10-01 01:00:00-07:00,JESSUP_1_GN001,61.44662
2022-10-01 01:00:00-07:00,KANAKAJT_1_B1,62.4319
2022-10-01 01:00:00-07:00,KEARNY_7_GNU1N,59.89124
2022-10-01 01:00:00-07:00,LBEACH1G_7_N001,60.85793
2022-10-01 01:00:00-07:00,MECCTG2_7_B2,62.9958
2022-10-01 01:00:00-07:00,MILPITAS_1_N001,64.66891
2022-10-01 01:00:00-07:00,REDMGEN_7_N003,61.55196
2022-10-01 01:00:00-07:00,RENFRO_1_N001,60.93849
2022-10-01 01:00:00-07:00,SHELL3_7_B2,63.42957
2022-10-01 01:00:00-07:00,SPIJCT_6_B1,63.86334
2022-10-01 01:00:00-07:00,TOT210S1_7_N002,57.23285
2022-10-01 01:00:00-07:00,TULLOCH_7_B2,63.11353
2022-10-01 01:00:00-07:00,VACA-DIX_1_B1,61.89278
2022-10-01 01:00:00-07:00,WISE1_7_B1,64.04924
